año,alcaldia,colonia,bimestre,indice_des,CPDomestico,CTDomestico,CPNODomestico,CTNODomestico,CPMixto,CTMixto,consumo_total,consumo_prom
2019,GUSTAVO A. MADERO,7 DE NOVIEMBRE,3,ALTO,42.57,468.23,3.05,3.05,53.24,159.72,631.0,42.07
2019,GUSTAVO A. MADERO,7 DE NOVIEMBRE,3,MEDIO,35.94,107.81,7.32,7.32,0.0,0.0,115.13,28.78
2019,GUSTAVO A. MADERO,7 DE NOVIEMBRE,3,POPULAR,24.59,122.93,75.03,75.03,0.0,0.0,197.96,32.99
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,67.44,539.49,121.57,243.14,56.72,56.72,839.35,76.3
2019,AZCAPOTZALCO,TRABAJADORES DEL HIERRO,3,BAJO,35.68,927.57,10.78,32.33,54.97,439.77,1399.67,37.83
2019,AZCAPOTZALCO,BARRIO COLTONGO,3,BAJO,22.38,4633.05,129.3,2068.79,123.98,991.8,7693.64,33.31
2019,AZCAPOTZALCO,TRABAJADORES DEL HIERRO,3,BAJO,33.66,1716.72,2.08,2.08,46.22,184.86,1903.66,33.99
2019,AZCAPOTZALCO,TRABAJADORES DEL HIERRO,3,BAJO,51.91,207.65,6.3,18.91,10.98,10.98,237.54,29.69
2019,AZCAPOTZALCO,TRABAJADORES DEL HIERRO,3,BAJO,27.88,641.29,19.72,59.17,38.93,272.52,972.98,29.48
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,37.71,1131.28,0.0,0.0,31.9,63.8,1195.08,36.21
2019,AZCAPOTZALCO,TRABAJADORES DEL HIERRO,3,BAJO,27.77,610.89,5.24,5.24,70.56,211.67,827.8,31.84
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,30.44,243.48,6.58,13.15,103.1,103.1,359.73,32.7
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,39.71,1230.94,8.54,8.54,52.77,422.14,1661.62,41.54
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,59.93,779.07,11.59,11.59,72.91,291.64,1082.3,60.13
2019,AZCAPOTZALCO,PROHOGAR,3,MEDIO,28.06,28.06,11.48,22.96,0.0,0.0,51.02,17.01
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,43.74,1355.94,6.42,25.67,114.32,457.26,1838.87,47.15
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,29.68,771.8,18.91,18.91,56.69,396.81,1187.52,34.93
2019,AZCAPOTZALCO,ARENAL,3,BAJO,33.32,299.85,22.57,45.14,71.99,143.98,488.97,37.61
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,48.12,1347.43,1.28,5.12,23.34,186.71,1539.26,38.48
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,43.52,565.78,62.22,62.22,48.15,144.44,772.44,45.44
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,37.79,982.62,0.0,0.0,45.4,499.42,1482.04,39.0
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,37.77,453.29,16.03,96.16,63.34,1393.46,1942.91,48.57
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,24.86,223.76,29.06,290.55,134.91,674.53,1188.84,49.54
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,25.78,515.62,2.75,5.5,100.61,301.83,822.95,32.92
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,39.92,1397.14,75.01,300.03,25.48,50.96,1748.13,42.64
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,39.54,1700.34,11.81,35.44,42.64,341.08,2076.86,38.46
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,45.67,958.97,34.99,104.96,66.0,990.02,2053.95,52.67
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,35.81,966.75,63.99,127.98,56.4,338.38,1433.11,40.95
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,56.44,1636.89,0.0,0.0,62.04,434.29,2071.18,55.98
2019,AZCAPOTZALCO,PROHOGAR,3,BAJO,46.59,1490.89,24.4,48.8,109.23,436.92,1976.61,52.02
2019,AZCAPOTZALCO,ALDANA,3,BAJO,51.77,673.07,10.64,42.56,37.92,189.62,905.25,41.15
2019,AZCAPOTZALCO,PORVENIR,3,BAJO,32.21,386.48,0.0,0.0,47.88,191.5,577.98,32.11
2019,AZCAPOTZALCO,LIBERACION,3,BAJO,59.25,474.02,16.35,32.7,23.18,23.18,529.9,48.17
2019,AZCAPOTZALCO,AGUILERA,3,BAJO,58.49,526.4,9.16,36.66,67.14,134.27,697.33,46.49
2019,AZCAPOTZALCO,LIBERACION,3,POPULAR,29.38,352.55,24.4,48.8,15.26,15.26,416.61,27.77
2019,AZCAPOTZALCO,PORVENIR,3,POPULAR,43.87,1886.6,11.8,23.6,19.02,38.05,1948.25,41.45
2019,AZCAPOTZALCO,PORVENIR,3,BAJO,42.35,1439.88,12.2,12.2,19.1,38.21,1490.29,40.28
2019,AZCAPOTZALCO,DEL GAS,3,BAJO,41.74,959.92,2.32,9.29,34.86,209.15,1178.36,35.71
2019,AZCAPOTZALCO,DEL GAS,3,BAJO,62.87,1068.81,8.16,32.65,78.24,312.98,1414.44,56.58
2019,AZCAPOTZALCO,DEL GAS,3,BAJO,36.61,732.19,3.36,6.71,53.18,265.88,1004.78,37.21
2019,AZCAPOTZALCO,ARENAL,3,BAJO,75.05,525.36,37.69,113.06,361.14,361.14,999.56,90.87
2019,AZCAPOTZALCO,DEL GAS,3,POPULAR,25.22,1563.82,9.98,19.96,22.38,67.13,1650.91,24.64
2019,AZCAPOTZALCO,LIBERACION,3,BAJO,28.49,1196.68,15.2,106.38,33.62,201.74,1504.8,27.36
2019,AZCAPOTZALCO,ALDANA,3,BAJO,63.58,890.15,1.83,1.83,85.44,598.06,1490.04,67.73
2019,AZCAPOTZALCO,PORVENIR,3,BAJO,30.69,368.23,4.88,4.88,15.45,46.36,419.47,26.22
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,51.69,465.21,0.0,0.0,39.18,313.48,778.69,43.26
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,44.99,584.83,21.65,64.95,53.38,320.25,970.03,44.09
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,24.63,591.01,6.71,13.42,71.37,214.12,818.55,28.23
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,35.56,604.55,29.07,29.07,13.42,13.42,647.04,34.05
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,41.28,536.66,20.74,20.74,77.61,388.04,945.44,49.76
2019,AZCAPOTZALCO,PATRIMONIO FAMILIAR,3,BAJO,31.3,626.06,20.13,40.26,17.19,51.58,717.9,28.72
2019,AZCAPOTZALCO,PATRIMONIO FAMILIAR,3,BAJO,30.04,600.72,59.78,59.78,0.0,0.0,660.5,31.45
2019,AZCAPOTZALCO,LA RAZA,3,BAJO,43.66,916.93,14.64,14.64,84.69,423.44,1355.01,50.19
2019,AZCAPOTZALCO,ARENAL,3,POPULAR,58.93,1060.68,92.72,92.72,108.3,108.3,1261.7,63.08
2019,AZCAPOTZALCO,ARENAL,3,ALTO,43.93,439.29,11.13,33.39,0.0,0.0,472.68,36.36
2019,AZCAPOTZALCO,ARENAL,3,BAJO,33.06,694.34,2.8,2.8,129.01,258.03,955.17,39.8
2019,AZCAPOTZALCO,ALDANA,3,BAJO,48.41,774.6,58.7,117.41,84.56,169.12,1061.13,53.06
2019,AZCAPOTZALCO,PATRIMONIO FAMILIAR,3,BAJO,42.51,382.56,14.64,14.64,104.82,209.64,606.84,50.57
